 Chunk         Ties       Losses         Wins        Total
     0      1827351      1961110     50265539     54054000
     1      1179026       880773     51994201     54054000
     2      1389113      2092869     50572018     54054000
     3      1624195      4678938     47750867     54054000
     4      1371907      1655236     51026857     54054000
     5      1801855      1937275     50314870     54054000
     6      1433526       734482     51885992     54054000
     7      1610752      3408232     49035016     54054000
     8      2709189      3986461     47358350     54054000
     9      2890581      3551376     47612043     54054000
    10      1676440      4328764     48048796     54054000
    11      1576960      1456688     51020352     54054000
    12      1529519      1244477     51280004     54054000
    13      2143139      1141488     50769373     54054000
    14      2281164      1550963     50221873     54054000
    15      1334009      1159465     51560526     54054000
    16      1471709      1978048     50604243     54054000
    17      1685339      1401185     50967476     54054000
    18      2766985      3161247     48125768     54054000
    19      3223822      2460044     48370134     54054000
    20      3807994      3970903     46275103     54054000
    21      5337689      3506374     45209937     54054000
    22      3884653      3912997     46256350     54054000
    23      2744324      3469523     47840153     54054000
    24      3559133      2494469     48000398     54054000
    25      3353821      3652380     47047799     54054000
    26      1654896      2176786     50222318     54054000
    27      1826969      1138248     51088783     54054000
    28      1548923      1303090     51201987     54054000
    29      2281191      1153593     50619216     54054000
    30      1961865       944592     51147543     54054000
    31      1592905       769057     51692038     54054000
    32      4476908      1314406     48262686     54054000
    33      2860566      1194576     49998858     54054000
    34      1843035      1022810     51188155     54054000
    35      1575776      2320524     50157700     54054000
    36      1531547      1149978     51372475     54054000
    37      2543082      2473211     49037707     54054000
    38      2281464      2210553     49561983     54054000
    39      1622120       722660     51709220     54054000
    40      1806127      1252906     50994967     54054000
    41      3628244      2028181     48397575     54054000
    42      4077381      2656120     47320499     54054000
    43      3071494      1755329     49227177     54054000
    44      3681880      2269913     48102207     54054000
    45      3799601      3827557     46426842     54054000
    46      5388351      3335091     45330558     54054000
    47      4468580      2973781     46611639     54054000
    48      4859608      1914685     47279707     54054000
    49      8526548      3982614     41544838     54054000
    50      7143095      3987241     42923664     54054000
    51      3132474      2053230     48868296     54054000
    52      2978581      3124808     47950611     54054000
    53      4328903      3613133     46111964     54054000
    54      3142449      1603060     49308491     54054000
    55      3162615      1627320     49264065     54054000
    56      8257494      4010006     41786500     54054000
    57      4080322      2550621     47423057     54054000
    58      1437312      1291967     51324721     54054000
    59      2278039      1506402     50269559     54054000
    60      3370023      2155784     48528193     54054000
    61      2046160      1332147     50675693     54054000
    62      1570383      1958884     50524733     54054000
    63      2243342      2047960     49762698     54054000
    64      1986726      1508037     50559237     54054000
    65      1729742      1165076     51159182     54054000
    66      4100650      2555898     47397452     54054000
    67      2765227      2152078     49136695     54054000
    68      2231139       483105     51339756     54054000
    69      1992749      1177012     50884239     54054000
    70      2894921      1078854     50080225     54054000
    71      4500515      2386234     47167251     54054000
    72      5179670      2745908     46128422     54054000
    73      4765272      2299154     46989574     54054000
    74      2546366      1892147     49615487     54054000
    75      1350635      1249461     51453904     54054000
    76      1414037      3317520     49322443     54054000
    77      1430084      1169607     51454309     54054000
    78      2721133      3445679     47887188     54054000
    79      1853949      2411554     49788497     54054000
    80      2074781      1162696     50816523     54054000
    81      1735992      1825912     50492096     54054000
    82      4070068      3157082     46826850     54054000
    83      3488158      3132106     47433736     54054000
    84      2839574      2604095     48610331     54054000
    85      1898859       863672     51291469     54054000
    86      2779712       812809     50461479     54054000
    87      2043413      1394546     50616041     54054000
    88      2428388      1697330     49928282     54054000
    89      3598025      2478510     47977465     54054000
    90      5084898      3181563     45787539     54054000
    91      6463207      3605263     43985530     54054000
    92      3361636      2989066     47703298     54054000
    93      5100079      2633872     46320049     54054000
    94      2201889      1677606     50174505     54054000
    95      2849337      4031986     47172677     54054000
    96      2749289      5762966     45541745     54054000
    97      3341843      5429651     45282506     54054000
    98      3179966      4352261     46521773     54054000
    99      3172675      3484721     47396604     54054000
   100      4970118      6008048     43075834     54054000
   101      4401773      5673528     43978699     54054000
   102      3251610      2164963     48637427     54054000
   103      3439969      2864256     47749775     54054000
   104      2823758      3458365     47771877     54054000
   105      4124768      4648164     45281068     54054000
   106      6343312      6612576     41098112     54054000
   107      6540953      5799875     41713172     54054000
   108      4243176      4461695     45349129     54054000
   109      2495081      4581711     46977208     54054000
   110      3059721      4070004     46924275     54054000
   111      4170855      6609562     43273583     54054000
   112      3685175      2532391     47836434     54054000
   113      3285861      3488651     47279488     54054000
   114      7300386      6662581     40091033     54054000
   115      4106803      3538122     46409075     54054000
   116      4867555      1949384     47237061     54054000
   117      3003239      3123629     47927132     54054000
   118      4242936      3433739     46377325     54054000
   119      6690014      5617629     41746357     54054000
   120     10271437      6549652     37232911     54054000
   121      5917549      4628800     43507651     54054000
   122      3133920      3102278     47817802     54054000
   123      2130951      3462033     48461016     54054000
   124      2170984      1896742     49986274     54054000
   125      3811698      3662385     46579917     54054000
   126      2627967      1670514     49755519     54054000
   127      3417120      3262011     47374869     54054000
   128      5404050      4185066     44464884     54054000
   129      2867703      2274760     48911537     54054000
   130      1724103      2513087     49816810     54054000
   131      2337639      2908421     48807940     54054000
   132      2239047      2098525     49716428     54054000
   133      2075240      1679156     50299604     54054000
   134      4271828      3743239     46038933     54054000
   135      3003588      3183982     47866430     54054000
   136      2638853       815586     50599561     54054000
   137      2332893      1686366     50034741     54054000
   138      3403051      1626135     49024814     54054000
   139      4681234      3306019     46066747     54054000
   140      5323073      3709837     45021090     54054000
   141      5195528      3186220     45672252     54054000
   142      2521058      2174648     49358294     54054000
   143      3836505      2608448     47609047     54054000
   144      2043323      2979816     49030861     54054000
   145      2745713      3633021     47675266     54054000
   146      2849481      2750207     48454312     54054000
   147      4521256      4727659     44805085     54054000
   148      1780567      7146212     45127221     54054000
   149      2336844      7401032     44316124     54054000
   150      3386789      9015155     41652056     54054000
   151      2213797      7690833     44149370     54054000
   152      3697464      7665148     42691388     54054000
   153      4014310      8199086     41840604     54054000
   154      2051351      5811448     46191201     54054000
   155      1688849      2202406     50162745     54054000
   156      1386209      3309615     49358176     54054000
   157      1632388      1995180     50426432     54054000
   158      2310399      3985054     47758547     54054000
   159      2057132      3539308     48457560     54054000
   160      1973934      1195422     50884644     54054000
   161      1853039      1731267     50469694     54054000
   162      3333967      3659662     47060371     54054000
   163      3752175      4391524     45910301     54054000
   164      2848503      3340777     47864720     54054000
   165      1897941      1495985     50660074     54054000
   166      2623254      1143297     50287449     54054000
